user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
RepRibble,official,WI,r,House Representative,Reid,Ribble,,
Bob_Gibbs,campaign,OH,r,House Representative,Bob,Gibbs,"",""
Rep_Southerland,official,FL,r,House Representative,Steve,Southerland,"",""
JohnCarneyDE,official,DE,d,Governor,John,Carney,"",""
senjonkyl,official,AZ,r,Senator,Jon,Kyl,,
SupJaniceHahn,official,CA,d,House Representative,Janice,Hahn,"",""
RepWalterJones,official,NC,r,House Representative,Walter,Jones,"",""
tndesjarlais,campaign,TN,r,House Representative,Scott,DesJarlais,"",""
USRepBobTurner,official,NY,r,House Representative,Bob,Turner,,
RepKarenBass,official,CA,d,House Representative,Karen,Bass,"",""
RepWalberg,official,MI,r,House Representative,Tim,Walberg,,
DanaRohrabacher,campaign,CA,r,House Representative,Dana,Rohrabacher,"",""
JacksonLeeTX18,official,TX,d,House Representative,Sheila,Jackson Lee,,
SenatorCarper,official,DE,d,Senator,Tom,Carper,,
RepCarnahan,official,MO,d,House Representative,Russ,Carnahan,,
SenBobCasey,official,PA,d,Senator,Robert,Casey,"""Bob""",Jr.
RepRichNugent,official,FL,r,House Representative,Rich,Nugent,"",""
TeamRoby,campaign,AL,r,House Representative,Martha,Roby,"",""
ChuckGrassley,official,IA,r,Senator,Chuck,Grassley,,
repgregwalden,official,OR,r,House Representative,Greg,Walden,"",""
RealBenCarson,campaign,MD,r,Administration Official,Ben,Carson,"",""
JudgeTedPoe,official,TX,r,House Representative,Ted,Poe,,
RepBillJohnson,official,OH,r,House Representative,Bill,Johnson,,
jaredpolis,campaign,CO,d,House Representative,Jared,Polis,"",""
PeterRoskam,official,IL,r,House Representative,Peter,Roskam,,
DrPhilRoe,official,TN,r,House Representative,Phil,Roe,,
SamsPressShop,official,TX,r,House Representative,Sam,Johnson,"",""
SenBillNelson,official,FL,d,Senator,Bill,Nelson,,
lisamurkowski,official,AK,r,Senator,Lisa,Murkowski,"",""
rosadelauro,official,CT,d,House Representative,Rosa,DeLauro,"",""
repcleaver,official,MO,d,House Representative,Emanuel,Cleaver,"",""
LtGovTimGriffin,official,AR,r,House Representative,Tim,Griffin,"",""
Sen_JoeManchin,official,WV,d,Senator,Joseph,Manchin,"""Joe""",III
SenatorTomUdall,official,NM,d,Senator,Tom,Udall,"",""
PatMeehanPA,campaign,PA,r,House Candidate,Pat,Comstock,,
PattyMurray,official,WA,d,Senator,Patty,Murray,,
EdTowns,official,NY,d,House Representative,Ed,Towns,"",""
RepChipCravaack,official,MN,r,House Representative,Chip,Cravaack,,
BillOwensNY,official,NY,d,House Representative,Bill,Owens,"",""
SteveAustria,official,OH,r,House Representative,Steve,Austria,,
RepNanHayworth,official,NY,r,House Representative,Nan,Hayworth,"",""
MelWattNC12,official,NC,d,House Representative,Mel,Watt,"",""
JackKingston,official,GA,r,House Representative,Jack,Kingston,"",""
chakafattah,official,PA,d,House Representative,Chaka,Fattah,"",""
RepBrianHiggins,official,NY,d,House Representative,Brian,Higgins,,
RepJoePitts,official,PA,r,House Representative,Joe,Pitts,,
SenBenNelson,official,NE,d,Senator,Ben,Nelson,,
JimDeMint,campaign,SC,r,Senator,Jim,DeMint,,
SenatorTimScott,official,SC,r,Senator,Tim,Scott,"",""
GrahamBlog,official,SC,r,Senator,Lindsey,Graham,"",""
RepFincherTN08,official,TN,r,House Representative,Stephen,Fincher,"",""
RobWittman,official,VA,r,House Representative,Rob,Wittman,,
SenatorLeahy,official,VT,d,Senator,Patrick,Leahy,,
NancyPelosi,official,CA,d,House Representative,Nancy,Pelosi,"",""
RepGwenMoore,official,WI,d,House Representative,Gwen,Moore,"",""
DeanHeller,campaign,NV,r,Senator,Dean,Heller,"",""
RepLynnJenkins,official,KS,r,House Representative,Lynn,Jenkins,"",""
FrankPallone,official,NJ,d,House Representative,Frank,Pallone,,
TGowdySC,official,SC,r,House Representative,Trey,Gowdy,,
JeffFortenberry,official,NE,r,House Representative,Jeff,Fortenberry,,
SenMikeLee,official,UT,r,Senator,Mike,Lee,,
rep_stevewomack,official,AR,r,House Representative,Steve,Womack,"",""
RepLarryKissell,official,NC,d,House Representative,Larry,Kissell,,
SenatorBurr,official,NC,r,Senator,Richard,Burr,"",""
RepGoodlatte,official,VA,r,House Representative,Rob,Goodlatte,"",""
RepLRichardson,official,CA,d,House Representative,Laura,Richardson,"",""
RepEdRoyce,official,CA,r,House Representative,Ed,Royce,,
GabbyGiffords,campaign,AZ,d,House Representative,Gabrielle,Giffords,"""Gabby""",""
DelegateDonna,official,VI,d,House Representative,Donna,Christensen,"",""
repcory,,"",r,,"","","",""
ntsongas,campaign,MA,d,House Representative,Niki,Tsongas,"",""
RepMarciaFudge,official,OH,d,House Representative,Marcia,Fudge,,
RepBerkley,official,NV,d,House Representative,Shelley,Berkley,"",""
RepGeoffDavis,official,KY,r,House Representative,Geoff,Davis,,
RepLoBiondo,official,NJ,r,House Representative,Frank,LoBiondo,"",""
SenGillibrand,campaign,NY,d,Senator,Kirsten,Gillibrand,"",""
RepJimMatheson,official,UT,d,House Representative,Jim,Matheson,"",""
louiseslaughter,official,NY,d,House Representative,Louise,Slaughter,"",""
RepHowardBerman,official,CA,d,House Representative,Howard,Berman,,
RepHankJohnson,official,GA,d,House Representative,Hank,Johnson,,
RepPerlmutter,official,CO,d,House Representative,Ed,Perlmutter,,
JerryMoran,official,KS,r,Senator,Jerry,Moran,"",""
JeffLandry,official,LA,r,House Representative,Jeff,Landry,"",""
SenJohnThune,official,SD,r,Senator,John,Thune,,
SenatorCardin,official,MD,d,Senator,Ben,Cardin,"",""
RepRivera,official,FL,r,House Representative,David,Rivera,,
KenCalvert,official,CA,r,House Representative,Ken,Calvert,,
PatrickMcHenry,official,NC,r,House Representative,Patrick,McHenry,,
RepCorrineBrown,official,FL,d,House Representative,Corrine,Brown,,
RepDanBurton,official,IN,r,House Representative,Dan,Burton,,
