user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
MittRomney,campaign,MA,r,Presidential Candidate,Mitt,Romney,"",""
BarackObama,official,DC,d,President,Barack,Obama,"",""
fredkarger,campaign,,r,Presidential Candidate,Fred,Karger,,
THEHermanCain,personal,"",r,Presidential Candidate,Herman,Cain,"",""
RickSantorum,campaign,PA,r,Presidential Candidate,Rick,Santorum,"",""
WhiteHouse,official,DC,d,President,The White,House,"",""
JonHuntsman,official,UT,r,Governor,Jon,Huntsman,,
SenDonnelly,official,IN,d,Senator,Joe,Donnelly,"",""
RepDianeBlack,official,TN,r,House Representative,Diane,Black,"",""
WhipHoyer,official,MD,d,House Representative,Steny,Hoyer,"",""
SteveKingIA,official,IA,r,House Representative,Steve,King,,
RepHansenClarke,official,MI,d,House Representative,Hansen,Clarke,"",""
RepJoeCourtney,official,CT,d,House Representative,Joe,Courtney,,
SteveLaTourette,official,OH,r,House Representative,Steven,LaTourette,,
WalshFreedom,official,IL,r,House Representative,Joe,Walsh,"",""
PRyan,campaign,WI,r,House Representative,Paul,Ryan,"",""
TeamRickPerry,campaign,TX,r,Governor,Rick,Perry,"",""
AKGovParnell,official,AK,r,Governor,Sean,Parnell,"",""
GovernorCorbett,official,PA,r,Governor,Tom,Corbett,"",""
GovPeterShumlin,official,VT,d,Governor,Peter,Shumlin,,
GovMalloyOffice,official,CT,d,Governor,Dan,Malloy,"",""
GovKitz,official,OR,d,Governor,John,Kitzhaber,A.,M.D.
BillHaslam,official,TN,r,Governor,Bill,Haslam,,
ButchOtter,official,ID,r,Governor,Butch,Otter,"""Butch""",
GovBeebeMedia,official,AR,d,Governor,Mike,Beebe,"",""
petershumlin,campaign,VT,d,Governor,Peter,Shumlin,,
GovernorPerry,campaign,TX,r,Governor,Rick,Perry,"",""
JerryBrownGov,campaign,CA,d,Governor,Edmund,Brown,"""Jerry""",
GovernorVA,official,VA,d,Governor,Terry,McAuliffe,"",""
Gov_Martinez,campaign,NM,r,Governor,Susana,Martinez,,
PhilBryantMS,official,MS,r,Governor,Phil,Bryant,,
MassGovernor,official,MA,r,Governor,Charlie,Baker,"",""
mymanmitch,official,IN,r,Governor,Mitch,Daniels,"",""
GovHerbert,official,UT,r,Governor,Gary,Herbert,Richard,
GovMarkDayton,official,MN,d,Governor,Mark,Dayton,,
ncgovoffice,official,NC,d,Governor,Bev,Perdue,"",""
GovernordeJongh,official,VI,d,Governor,John,deJongh,"",Jr.
GovBrewer,official,AZ,r,Governor,Jan,Brewer,"",""
NYGovCuomo,official,NY,d,Governor,Andrew,Cuomo,"",""
GovTomblin,official,WV,d,Governor,Earl,Tomblin,Ray,""
GovChristie,official,NJ,r,Governor,Chris,Christie,"",""
GovMaryFallin,official,OK,r,Governor,Mary,Fallin,"",""
BrianSandoval,campaign,NV,r,Governor,Brian,Sandoval,"",""
TerryBranstad,official,IA,r,Governor,Terry,Branstad,E.,""
hickforco,official,CO,d,Governor,John,Hickenlooper,,
GovJohnLynch,official,NH,d,Governor,John,Lynch,"",""
MartinOMalley,official,MD,d,Presidential Candidate,Martin,O'Malley,"",""
luisfortuno51,campaign,PR,r,Governor,Luis,Fortuño,G.,
eddiebazacalvo,official,GU,r,Governor,Eddie,Calvo,Baza,
onetoughnerd,official,MI,r,Governor,Rick,Snyder,,
GovernorMarkell,official,DE,d,Governor,Jack,Markell,"",""
DaveEHeineman,official,NE,r,Governor,Dave,Heineman,"",""
GovWalker,official,WI,r,Governor,Scott,Walker,"",""
govsambrownback,official,KS,r,Governor,Sam,Brownback,"",""
GovAbbott,official,TX,r,Governor,Greg,Abbott,"",""
SCGOVOFFICE,official,SC,r,Governor,Nikki,Haley,R.,
Steve__Beshear,official,KY,d,Governor,Steven,Beshear,L.,""
GovernorBentley,official,AL,r,Governor,Robert,Bentley,,
LincolnChafee,official,RI,d,Governor,Lincoln,Chafee,"",""
SDGovDaugaard,official,SD,r,Governor,Dennis,Daugaard,,
FLGovScott,official,FL,r,Governor,Rick,Scott,,
JohnKasich,campaign,OH,r,Governor,John,Kasich,"",""
GovernorDeal,official,GA,r,Governor,Nathan,Deal,"",""
brianschweitzer,official,MT,d,Governor,Brian,Schweitzer,,
GovernorQuinn,official,IL,d,Governor,Pat,Quinn,"",""
GovGregoire,official,WA,d,Governor,Chris,Gregoire,"",""
DalrympleforGov,campaign,ND,r,Governor,Jack,Dalrymple,"",""
neilabercrombie,official,HI,d,Governor,Neil,Abercrombie,"",""
BobbyJindal,campaign,LA,r,Governor,Bobby,Jindal,,
SenatorWicker,official,MS,r,Senator,Roger,Wicker,"",""
McGovernMA,campaign,MA,d,House Representative,Jim,McGovern,"",""
dennisdaugaard,campaign,SD,r,Governor,Dennis,Daugaard,,
ToddYoungIN,campaign,IN,r,Senator,Todd,Young,"",""
votegregwalden,campaign,OR,r,House Representative,Greg,Walden,"",""
GaryMillerCA,campaign,CA,r,House Representative,Gary,Miller,"",""
RepAlGreenTX,campaign,TX,d,House Representative,Al,Green,"",""
senorrinhatch,official,UT,r,Senator,Orrin,Hatch,,
Kline4Congress,campaign,MN,r,House Representative,John,Kline,"",""
McHenryCampaign,campaign,NC,r,House Representative,Patrick,McHenry,"",""
Mark_Dayton,campaign,MN,d,Governor,Mark,Dayton,,
ScottRTipton,campaign,CO,r,House Representative,Scott,Tipton,"",""
JeffDenham,campaign,CA,r,House Representative,Jeff,Denham,"",""
rooney4congress,campaign,FL,r,House Representative,Tom,Rooney,"",""
teambrewer,campaign,AZ,r,Governor,Jan,Brewer,"",""
amasharchive,campaign,MI,r,House Representative,Justin,Amash,"",""
Duffy4Wisconsin,campaign,WI,r,House Representative,Sean,Duffy,"",""
TeamReichert,campaign,WA,r,House Representative,Dave,Reichert,"",""
TeamIssa,campaign,CA,r,House Representative,Darrel,Issa,"",""
RaulLabrador4ID,campaign,ID,r,House Representative,Raúl,Labrador,R.,""
JudyChuCampaign,campaign,CA,d,House Representative,Judy,Chu,"",""
voteterry,campaign,NE,r,House Representative,Lee,Terry,"",""
reelectbobby,campaign,IL,r,House Representative,Bobby,Schilling,,
DesJarlaisTN04,official,TN,r,House Representative,Scott,DesJarlais,,
stabenow,campaign,MI,d,Senator,Debbie,Stabenow,"",""
RepMikePompeo,official,KS,r,House Representative,Mike,Pompeo,,
DevalPatrick,campaign,MA,d,Governor,Deval,Patrick,"",""
Sewell4Congress,campaign,AL,d,House Representative,Terri,Sewell,A.,""
dianeblack4rep,campaign,TN,r,House Representative,Diane,Black,,
ScottRigell,campaign,VA,r,House Representative,Scott,Rigell,"",""
PatToomey,campaign,PA,r,Senator,Pat,Toomey,"",""
QuinnForIL,campaign,IL,d,Governor,Pat,Quinn,"",""
Barrow4GA,campaign,GA,d,House Representative,John,Barrow,"",""
bennelson2012,campaign,NE,d,Senator,Ben,Nelson,"",""
StephenFincher,campaign,TN,r,House Representative,Stephen,Fincher,"",""
WebsterCongress,campaign,FL,r,House Representative,Daniel,Webster,"",""
Bishop4Congress,campaign,GA,d,House Representative,Sanford,Bishop,D.,Jr.
EllisonCampaign,campaign,MN,d,House Representative,Keith,Ellison,"",""
StenyHoyer,campaign,MD,d,House Representative,Steny,Hoyer,"",""
WestmorelandGA,campaign,GA,r,House Representative,Lynn,Westmoreland,"",""
BradyforPhilly,campaign,PA,d,House Representative,Bob,Brady,"",""
Renacci2012,campaign,OH,r,House Representative,Jim,Renacci,"",""
RepStutzman,official,IN,r,House Representative,Marlin,Stutzman,"",""
Lowey4Congress,campaign,NY,d,House Representative,Nita,Lowey,"",""
votetimscott,campaign,SC,r,Senator,Tim,Scott,"",""
RepGutierrez,official,IL,d,House Representative,Luis,Gutierrez,V.,""
jameslankford,campaign,OK,r,Senator,James,Lankford,"",""
foxxforcongress,campaign,NC,r,House Representative,Virginia,Foxx,"",""
Gosar4Congress,campaign,AZ,r,House Representative,Paul,Gosar,"",""
WeBackJack,campaign,DE,d,Governor,Jack,Markell,,
OlympiasList,campaign,ME,r,Senator,Olympia,Snowe,J.,""
SteveChabot,campaign,OH,r,House Representative,Steve,Chabot,"",""
tommcclintock,campaign,CA,r,House Representative,Tom,McClintock,"",""
JohnsonLeads,campaign,OH,r,House Representative,Bill,Johnson,"",""
BobCorker,campaign,TN,r,Senator,Bob,Corker,"",""
Boozman4AR,campaign,AR,r,Senator,John,Boozeman,"",""
johnthune,campaign,SD,r,Senator,John,Thune,"",""
OHPressSec,official,OH,r,Governor,John,Kasich,,
CoopForCongress,campaign,TN,d,House Representative,Jim,Cooper,"",""
IsraelForNY,campaign,NY,d,House Representative,Steve,Israel,"",""
MarchantforTX24,campaign,TX,r,House Representative,Kenny,Marchant,"",""
VoteMarsha,campaign,TN,r,Senate Candidate,Marsha,Blackburn,"",""
McDermott4Rep,campaign,WA,d,House Representative,Jim,McDermott,"",""
timholdenpa17,campaign,PA,d,House Representative,Tim,Holden,"",""
RPA_PAC,campaign,MI,r,Governor,Rick,Snyder,"",""
HarperCampaign,campaign,MS,r,House Representative,Gregg,Harper,"",""
Berkley4Senate,campaign,NV,d,House Representative,Shelley,Berkley,"",""
jon2012hq,campaign,UT,r,Governor,Jon,Huntsman,,
Nugent4Congress,campaign,FL,r,House Representative,Rich,Nugent,"",""
BernieSanders,campaign,VT,i,Senator,Bernard,Sanders,"""Bernie""",""
PeteOlson,campaign,TX,r,House Representative,Pete,Olson,"",""
Team_Mitch,campaign,KY,r,Senator,Mitch,McConnell,"",""
ReElectHank,campaign,GA,d,House Representative,Hank,Johnson,"",""
RepBobGibbs,official,OH,r,House Representative,Bob,Gibbs,,
Gwen4Congress,campaign,WI,d,House Representative,Gwen,Moore,"",""
kevinomccarthy,campaign,CA,r,House Representative,Kevin,McCarthy,"",""
CedricRichmond,campaign,LA,d,House Representative,Cedric,Richmond,"",""
BurrForSenate,campaign,NC,r,Senator,Richard,Burr,"",""
BobTurnerNY,campaign,NY,r,House Representative,Bob,Turner,"",""
JoeCourtneyCT,campaign,CT,d,House Representative,Joe,Courtney,"",""
LandryForLA,campaign,LA,r,House Representative,Jeff,Landry,"",""
ToddRokitaIN,campaign,IN,r,Senate Candidate,Todd,Rokita,"",""
VoteYvette,campaign,NY,d,House Representative,Yvette,Clarke,D.,""
RepErikPaulsen,official,MN,r,House Representative,Erik,Paulsen,,
MarkKirk,campaign,IL,r,Senator,Mark,Kirk,"",""
FlemingforLA,campaign,LA,r,House Representative,John,Fleming,"",""
UptonForAllOfUs,campaign,MI,r,House Representative,Fred,Upton,"",""
VoteLouiseNY,campaign,NY,d,House Representative,Louise,Slaughter,"",""
Pearce4NM,campaign,NM,r,House Representative,Steve,Pearce,"",""
barrassoforwyo,campaign,WY,r,Senator,John,Barrasso,"",""
ReElectWittman,campaign,VA,r,House Representative,Rob,Wittman,"",""
Ruben_Hinojosa,campaign,TX,d,House Representative,Ruben,Hinojosa,"",""
ReElectCohen,campaign,TN,d,House Representative,Steve,Cohen,"",""
RepJohnCarter,campaign,TX,r,House Representative,John,Carter,"",""
waterscampaign,campaign,CA,d,House Representative,Maxine,Waters,"",""
Fitzpatrickpa8,campaign,PA,r,House Representative,Mike,Fitzpatrick,"",""
LisaForSenate,campaign,AK,r,Senator,Lisa,Murkowski,"",""
AlbioSiresNJ,campaign,NJ,d,House Representative,Albio,Sires,"",""
Bob_Casey,campaign,PA,d,Senator,Robert,Casey,"""Bob""",Jr.
Hanna4Congress,campaign,NY,r,House Representative,Richard,Hanna,"",""
SherrodBrown,campaign,OH,d,Senator,Sherrod,Brown,"",""
InhofePress,official,OK,r,Senator,Jim,Inhofe,,
grace4congress,campaign,CA,d,House Representative,Grace,Napolitano,"",""
ROBERTDOLD,campaign,IL,r,House Representative,Robert,Dold,J.,""
carolynmccarthy,campaign,NY,d,House Representative,Carolyn,McCarthy,"",""
LoBiondo2016,campaign,NJ,r,House Representative,Frank,LoBiondo,"",""
MarioDBCamp,campaign,FL,r,House Representative,Mario,Diaz-Balart,"",""
reyesworks,campaign,TX,d,House Representative,Silvestre,Reyes,"",""
johnboehner,campaign,OH,r,House Representative,John,Boehner,"",""
TomGravesGA14,campaign,GA,r,House Representative,Tom,Graves,"",""
BLeeForCongress,campaign,CA,d,House Representative,Barbara,Lee,"",""
DavidRiveraFL,campaign,FL,r,House Representative,David,Rivera,"",""
LloydDoggettTX,campaign,TX,d,House Representative,Lloyd,Doggett,"",""
PaulTonko,campaign,NY,d,House Representative,Paul,Tonko,"",""
MurrayCampaign,campaign,WA,d,Senator,Patty,Murray,"",""
NanHayworth,campaign,NY,r,House Candidate,Nan,Hayworth,"",""
Elect_Blake,campaign,TX,r,House Representative,Blake,Farenthold,"",""
TEAMSullivan,campaign,OK,r,House Representative,John,Sullivan,"",""
Electdavidscott,campaign,GA,d,House Representative,David,Scott,"",""
JeffMerkley,campaign,OR,d,Senator,Jeff,Merkley,"",""
Runyan2014,campaign,NJ,r,House Representative,Jon,Runyan,"",""
BarbaraBoxer,campaign,CA,d,Senator,Barbara,Boxer,"",""
standwithraul,campaign,AZ,d,House Representative,Raúl,Grijalva,"",""
LindseyGrahamSC,campaign,SC,r,Senator,Lindsey,Graham,"",""
John_Carney,campaign,DE,d,House Representative,John,Carney,"",""
MikeSimpson4ID,campaign,ID,r,House Representative,Mike,Simpson,"",""
BenCardinforMD,campaign,MD,d,Senator,Ben,Cardin,"",""
DickBlumenthal,campaign,CT,d,Senator,Richard,Blumenthal,"""Dick""",""
Barton4Congress,campaign,TX,r,House Representative,Joe,Barton,"",""
Marino4Congress,campaign,PA,r,House Representative,Tom,Marino,"",""
jacksonlee18,campaign,TX,d,House Representative,Sheila,Jackson Lee,"",""
MikeTurnerOH,campaign,OH,r,House Representative,Mike,Turner,"",""
MathesonForUtah,campaign,UT,d,House Representative,Jim,Matheson,"",""
Higgins4WNY,campaign,NY,d,House Representative,Brian,Higgins,"",""
nikkihaley,campaign,SC,r,Governor,Nikki,Haley,R.,""
JaniceHahn,campaign,CA,d,House Representative,Janice,Hahn,"",""
TG4Arkansas,campaign,AR,r,House Representative,Tim,Griffin,"",""
Crawford4Cong,campaign,AR,r,House Representative,Rick,Crawford,"",""
chuck4congress,campaign,TN,r,House Representative,Chuck,Fleischmann,"",""
DanCoats,campaign,IN,r,Senator,Dan,Coats,"",""
BobMcDonnell,campaign,VA,r,Governor,Robert,McDonnell,"""Bob""",
RepAaronSchock,campaign,IL,r,House Representative,Aaron,Schock,,
TeamStabenow,campaign,MI,d,Senator,Debbie,Stabenow,"",""
McCaskill2012,campaign,MO,d,Senator,Claire,McCaskill,"",""
28thDistrict,campaign,CA,d,House Representative,Adam,Schiff,"",""
bradyfortexas,campaign,TX,r,House Representative,Kevin,Brady,"",""
Biggert2012,campaign,IL,r,House Representative,Judy,Biggert,"",""
KristiNoem,campaign,SD,r,House Representative,Kristi,Noem,"",""
ChrisGibsonNY,campaign,NY,r,House Representative,Chris,Gibson,"",""
HerbertForUtah,campaign,UT,r,Governor,Gary,Herbert,Richard,
SenScottBrown,campaign,NH,r,Senate Candidate,Scott,Brown,"",""
friendsoffarr,campaign,CA,d,House Representative,Sam,Farr,"",""
RepMarthaRoby,official,AL,r,House Representative,Martha,Roby,,
GOPCAMPAC,campaign,MI,r,House Representative,Dave,Camp,"",""
HarryReid,campaign,NV,d,Senator,Harry,Reid,"",""
bobfilner,campaign,CA,d,House Representative,Bob,Filner,"",""
JaimeLHerrera,campaign,WA,r,House Representative,Jaime,Herrera Beutler,"",""
KarenBassTweets,campaign,CA,d,House Representative,Karen,Bass,"",""
mazieforhawaii,campaign,HI,d,Senator,Mazie,Hirono,"",""
MikeRogersCamp,campaign,AL,r,House Representative,Mike,Rogers,"",""
RepJoeWilson,official,SC,r,House Representative,Joe,Wilson,"",""
TedforCongress,campaign,FL,d,House Representative,Ted,Deutch,"",""
RickBergND,campaign,ND,r,House Representative,Rick,Berg,"",""
RepJaredPolis,official,CO,d,House Representative,Jared,Polis,"",""
Vern2014,campaign,FL,r,House Representative,Vern,Buchanan,"",""
RepMeehan,official,PA,r,House Representative,Pat,Meehan,"",""
AdamKinzinger,campaign,IL,r,House Representative,Adam,Kinzinger,"",""
RepHanabusa,official,HI,d,House Representative,Colleen,Hanabusa,"",""
Ed4Colorado,campaign,CO,d,House Representative,Ed,Perlmutter,"",""
electdennisross,campaign,FL,r,House Representative,Dennis,Ross,"",""
JoePitts4PA,campaign,PA,r,House Representative,Joe,Pitts,"",""
Fattah4Congress,campaign,PA,d,House Representative,Chaka,Fattah,"",""
JoeforIndiana,campaign,IN,d,Senator,Joe,Donnelly,"",""
manzullohq,campaign,IL,r,House Representative,Don,Manzullo,"",""
Renee4Congress,campaign,NC,r,House Representative,Renee,Ellmers,"",""
TeamPallone,campaign,NJ,d,House Representative,Frank,Pallone,"",""
DrLarryBucshon,campaign,IN,r,House Representative,Larry,Bucshon,"",""
RonJohnsonWI,campaign,WI,r,Senator,Ron,Johnson,"",""
HowardBerman,campaign,CA,d,House Representative,Howard,Berman,"",""
HansenClarke,campaign,MI,d,House Representative,Hansen,Clarke,"",""
womack4congress,campaign,AR,r,House Representative,Steve,Womack,"",""
MikeRossUpdates,campaign,AR,d,Gubernatorial Candidate,Mike,Ross,"",""
JoeManchinWV,campaign,WV,d,Senator,Joseph,Manchin,"""Joe""",III
CongPalazzo,official,MS,r,House Representative,Steven,Palazzo,"",""
auctnr1,campaign,MO,r,House Representative,Billy,Long,"",""
SandyAdams4FL07,campaign,FL,r,House Representative,Sandy,Adams,"",""
BobbyLRushMC,campaign,IL,d,House Representative,Bobby,Rush,L.,""
norm4congress,campaign,WA,d,House Representative,Norm,Dicks,"",""
reidribble,campaign,WI,r,House Representative,Reid,Ribble,"",""
billhuizenga,campaign,MI,r,House Representative,Bill,Huizenga,"",""
VickyHartzler,campaign,MO,r,House Representative,Vicky,Hartzler,"",""
BennetForCO,campaign,CO,d,Senator,Michael,Bennet,"",""
RepHultgren,official,IL,r,House Representative,Randy,Hultgren,"",""
TimWalberg,campaign,MI,r,House Representative,Tim,Walberg,"",""
mikehonda17,campaign,CA,d,House Representative,Mike,Honda,"",""
RepRandyForbes,campaign,VA,r,House Candidate,Randy,Forbes,,
Peters4Michigan,campaign,MI,d,Senator,Gary,Peters,"",""
GovSandoval,official,NV,r,Governor,Brian,Sandoval,,
Rehberg2012,campaign,MT,r,House Representative,Denny,Rehberg,"",""
ElectAllenWest,campaign,FL,r,House Representative,Allen,West,"",""
IowansforLatham,campaign,IA,r,House Representative,Tom,Latham,"",""
CBoustanyJr,campaign,LA,r,House Representative,Charles,Boustany,"",""
FlakeforSenate,campaign,AZ,r,Senator,Jeff,Flake,"",""
RepMcNerney,official,CA,d,House Representative,Jerry,McNerney,"",""
ConnieMackIV,campaign,FL,r,House Representative,Connie,Mack,"",""
RepMickMulvaney,official,SC,r,House Representative,Mick,Mulvaney,"",""
chipcravaack,campaign,MN,r,House Representative,Chip,Cravaack,"",""
lynnjenkins,campaign,KS,r,House Representative,Lynn,Jenkins,"",""
TimMurphyPA,campaign,PA,r,House Representative,Tim,Murphy,"",""
PaulBrounforGA,campaign,GA,r,Senate Candidate,Paul,Broun,"",""
ScottforFlorida,campaign,FL,r,Governor,Rick,Scott,"",""
bilirakis,campaign,FL,r,House Representative,Gus,Bilirakis,"",""
mike_pence,campaign,IN,r,Vice President,Mike,Pence,"",""
USRepKeating,official,MA,d,House Representative,William,Keating,"""Bill""",
electadamsmith,campaign,WA,d,House Representative,Adam,Smith,"",""
Rep_BonoMack,official,CA,r,House Representative,Mary,Mack,Bono,""
JohnLarsonCT,campaign,CT,d,House Representative,John,Larson,"",""
mlfudge,campaign,OH,d,House Representative,Marcia,Fudge,"",""
RepFrankGuinta,official,NH,r,House Representative,Frank,Guinta,"",""
TeamDingell,campaign,MI,d,House Representative,John,Dingell,"",""
tgowdy,campaign,SC,r,House Representative,Trey,Gowdy,"",""
TeamCalvert,campaign,CA,r,House Representative,Ken,Calvert,"",""
congstearns,campaign,FL,r,House Representative,Cliff,Stearns,"",""
WilliamKeating,campaign,MA,d,House Representative,William,Keating,"""Bill""",""
RepTomReed,official,NY,r,House Representative,Tom,Reed,,
KindforCongress,campaign,WI,d,House Representative,Ron,Kind,"",""
MorganGriffith,campaign,VA,r,House Representative,Morgan,Griffith,"",""
RosLehtinenCamp,campaign,FL,r,House Representative,Ileana,Ros-Lehtinen,"",""
Rangel4Congress,campaign,NY,d,House Representative,Charles,Rangel,"",""
SenDeanHeller,official,NV,r,Senator,Dean,Heller,,
ElectConnolly,campaign,VA,d,House Representative,Gerry,Connolly,"",""
TomCarperforDE,campaign,DE,d,Senator,Tom,Carper,"",""
JackieSpeier,campaign,CA,d,House Representative,Jackie,Speier,"",""
RobertHurt,campaign,VA,r,House Representative,Robert,Hurt,"",""
jlewis4congress,campaign,GA,d,House Representative,John,Lewis,"",""
QuigleyCampaign,campaign,IL,d,House Representative,Mike,Quigley,"",""
Benishek,campaign,MI,r,House Representative,Dan,Benishek,"",""
reptoddakin,official,MO,r,House Representative,Todd,Akin,"",""
coffmanforco,campaign,CO,r,House Representative,Mike,Coffman,"",""
moranforkansas,campaign,KS,r,Senator,Jerry,Moran,"",""
SenatorShaheen,official,NH,d,Senator,Jeanne,Shaheen,"",""
RepJoeHeck,official,NV,r,House Representative,Joe,Heck,,
RepRickLarsen,official,WA,d,House Representative,Rick,Larsen,,
Menendez4NJ,campaign,NJ,d,Senator,Robert,Menendez,"""Bob""",""
CritzforLtGov,campaign,PA,d,House Representative,Mark,Critz,"",""
stevestivers,campaign,OH,r,House Representative,Steve,Stivers,"",""
TeamDanInouye,campaign,HI,d,Senator,Daniel,Inouye,"",""
mckinley4cong,campaign,WV,r,House Representative,David,McKinley,B.,""
RepKevinYoder,official,KS,r,House Representative,Kevin,Yoder,"",""
EdRRoyce,campaign,CA,r,House Representative,Ed,Royce,"",""
DavidSchweikert,campaign,AZ,r,House Representative,David,Schweikert,"",""
dicklugar,campaign,IN,r,Senator,Richard,Lugar,"""Dick""",""
RepAlanNunnelee,official,MS,r,House Representative,Alan,Nunnelee,"",""
TomPriceMD,campaign,GA,r,House Representative,Tom,Price,"",M.D.
DrRandPaul,campaign,KY,r,Presidential Candidate,Rand,Paul,"",""
SenCoryGardner,official,CO,r,Senator,Cory,Gardner,"",""
CapitoforWV,campaign,WV,r,Senator,Shelley,Capito,"",""
nikiinthehouse,official,MA,d,House Representative,Niki,Tsongas,"",""
MikeMcIntyreNC,campaign,NC,d,House Representative,Mike,McIntyre,"",""
BobbyScott4VA3,campaign,VA,d,House Representative,Bobby,Scott,"",""
cansecotx23,campaign,TX,r,House Representative,Francisco,Canseco,"",""
RepSchakowsky,campaign,IL,d,House Representative,Jan,Schakowsky,"",""
Rep_JoeWalsh,campaign,IL,r,House Representative,Joe,Walsh,"",""
johnconyersjr,campaign,MI,d,House Representative,John,Conyers,"",""
loubarletta,campaign,PA,r,House Representative,Lou,Barletta,"",""
TimRyan,campaign,OH,d,House Representative,Tim,Ryan,"",""
Flores4Congress,campaign,TX,r,House Representative,Bill,Flores,"",""
RonBarberAZ,campaign,AZ,d,House Representative,Ron,Barber,"",""
McSallyCongress,campaign,AZ,r,House Candidate,Martha,McSally,,
Ann_Kirkpatrick,campaign,AZ,d,House Representative,Ann,Kirkpatrick,"",""
JonathanPaton,campaign,AZ,r,House Candidate,Jonathan,Paton,,
RepDanLungren,official,CA,r,House Representative,Dan,Lungren,,
BeraForCongress,campaign,CA,d,House Representative,Ami,Bera,"",M.D.
MarkTakano,campaign,CA,d,House Representative,Mark,Takano,"",""
ScottPetersSD,campaign,CA,d,House Representative,Scott,Peters,"",""
DavidSecor2012,campaign,CA,d,House Candidate,David,Secor,B.,
AndrewRoraback,campaign,CT,r,House Candidate,Andrew,Roraback,,
Elizabeth_Esty,campaign,CT,d,House Representative,Elizabeth,Esty,"",""
JoeGarcia,campaign,FL,r,House Candidate,Joe,Garcia,,
VoteLee,campaign,GA,r,House Candidate,Lee,Anderson,"",""
JasonPlummer,campaign,IL,r,House Candidate,Jason,Plummer,,
EnyartforIL12,campaign,IL,d,House Representative,Bill,Enyart,"",""
Paula4Congress,campaign,IL,x,House Candidate,Paula,Bradshaw,,
RickNolanMN,campaign,MN,d,House Representative,Rick,Nolan,"",""
AnnMcLaneKuster,campaign,NH,d,House Representative,Annie,Kuster,McLane,""
CharlieBassNH,campaign,NH,r,House Representative,Charlie,Bass,"",""
TimBishopNY,official,NY,d,House Representative,Tim,Bishop,"",""
TimBishop2014,campaign,NY,d,House Representative,Tim,Bishop,"",""
randyaltschuler,campaign,NY,r,House Candidate,Randy,Altschuler,"",""
repmichaelgrimm,official,NY,r,House Representative,Michael,Grimm,"",""
Grimm4Congress,campaign,NY,r,House Representative,Michael,Grimm,"",""
MarkMurphy2012,campaign,NY,d,House Candidate,Mark,Murphy,,
voteBuerkle,campaign,NY,r,House Representative,Anne,Buerkle,Marie,""
DanMaffeiNY,campaign,NY,d,House Representative,Dan,Maffei,"",""
KathyHochul,campaign,NY,d,House Representative,Kathy,Hochul,"",""
CollinsNY27,campaign,NY,r,House Representative,Chris,Collins,"",""
RichHudson,campaign,NC,r,House Representative,Richard,Hudson,"",""
CharlieOhio,campaign,OH,d,House Candidate,Charlie,Wilson,"",""
BettySutton,campaign,OH,d,House Representative,Betty,Sutton,"",""
KRPA12,campaign,PA,r,House Representative,Keith,Rothfus,"",""
MiaBLove,campaign,UT,r,House Representative,Mia,Love,"",""
Linda_McMahon,campaign,CT,r,Senate Candidate,Linda,McMahon,,
ChrisMurphyCT,campaign,CT,d,Senator,Chris,Murphy,"",""
lingle2012,campaign,HI,r,Senate Candidate,Linda,Lingle,,
TeamHoekstra,campaign,MI,r,Senate Candidate,Pete,Hoekstra,,
petehoekstra,campaign,MI,r,Senate Candidate,Pete,Hoekstra,"",""
Heinrich4NM,campaign,NM,d,Senator,Martin,Heinrich,"",""
HeatherAnWilson,campaign,NM,r,Senate Candidate,Heather,Wilson,,
JoshMandelOhio,campaign,OH,r,Senate Candidate,Josh,Mandel,,
TomSmithforPA,campaign,PA,r,Senate Candidate,Tom,Smith,,
dillesquire,campaign,ME,d,Senate Candidate,Cynthia,Dill,,
Summersformaine,campaign,ME,r,Senate Candidate,Charlie,Summers,E.,Jr.
DodgeforSenate,campaign,ME,x,Senate Candidate,Andrew,Dodge,Ian,
angusking2018,campaign,ME,i,Senator,Angus,King,"",""
elizabethforma,campaign,MA,d,Senator,Elizabeth,Warren,"",""
jontester,campaign,MT,d,Senator,Jon,Tester,"",""
timkaine,campaign,VA,d,Senator,Tim,Kaine,"",""
georgeallenva,campaign,VA,r,Senate Candidate,George,Allen,,
tammybaldwin,campaign,WI,d,Senator,Tammy,Baldwin,"",""
TommyForHealth,campaign,WI,r,Senate Candidate,Tommy,Thompson,G.,
CarmonaForAZ,campaign,AZ,d,Senate Candidate,Richard,Carmona,H.,M.D.
richardmourdock,campaign,IN,r,Senate Candidate,Richard,Mourdock,,
kerreybob,campaign,NE,d,Senate Candidate,Bob,Kerrey,,
DebFischerNE,campaign,NE,r,Senator,Deb,Fischer,"",""
Heidi4ND,campaign,ND,d,Senator,Heidi,Heitkamp,"",""
KimVannCongress,campaign,CA,r,House Candidate,Kim,Vann,"",""
VernonBParker,campaign,AZ,r,House Candidate,Vernon,Parker,B.,
Obermueller2012,campaign,MN,d,House Candidate,Mike,Obermueller,,
VictorForSenate,campaign,AZ,x,Senate Candidate,Marc,Victor,,
ChadLeeCongress,campaign,WI,r,House Candidate,Chad,Lee,,
MarkPocan,campaign,WI,d,House Representative,Mark,Pocan,"",""
Astro_Jose,campaign,CA,d,House Candidate,Jose,Hernandez,"",""
dgvaladao,campaign,CA,r,House Representative,David,Valadao,"",""
